step,retrieved_goal,answer
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Acrylic Paint,4
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Clean Acrylic,4
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Clean an Acrylic Painting,4
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Dispose of Acrylic Paint,4
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Make Acrylic Paint,4
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Paint Acrylic Clouds,2
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Paint Acrylic on Canvas,2
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Paint With Acrylics,4
Apply acrylic paint opaquely or transparently over gold leaf for different effects.,Remove Acrylic Paint,4
Apply your foundation.,Apply Cream Foundation,1
Apply your foundation.,Apply Even Foundation,1
Apply your foundation.,Apply Foundation,1
Apply your foundation.,Apply Foundation Primer,1
Apply your foundation.,Apply Foundation and Powder,1
Apply your foundation.,Apply Mousse Foundation,1
Apply your foundation.,Apply Powder Foundation,1
Apply your foundation.,Apply Stick Foundation,1
Apply your foundation.,Apply a Full Coverage Foundation,1
Be respectful.,Be Polite,1
Be respectful.,Be Respected,2
Be respectful.,Be Respectful,1
Be respectful.,Be Respectful of Your Family,1
Be respectful.,Be Respectful of Your Parents,1
Be respectful.,Be Respectfully Righteous,1
Be respectful.,Bow Politely,1
Be respectful.,Respect Yourself,1
Be respectful.,Show Respect,1
Drink a lot of water.,Boil Drinking Water,3
Drink a lot of water.,Drink Enough Water,1
Drink a lot of water.,Drink Hot Water,3
Drink a lot of water.,Drink Lemon Water,1
Drink a lot of water.,Drink More Water Every Day,1
Drink a lot of water.,Get Emergency Drinking Water from a Water Heater,0
Drink a lot of water.,Get in the Habit of Drinking Water,1
Drink a lot of water.,Make Your Dog Drink Water,0
Drink a lot of water.,Turn Salt Water Into Drinking Water,3
Edit your photographs using professional editing software.,Choose Video Editing Software,4
